gene_names	ID	CpG_logFC	Gene_logFC	Gene_P.value	AveExpr	Gene_log2_P.value
ABCB10	1_229692817	"NA"	0.5334806977394173	0.01627749303423821	19.767208321760986	5.940977668645766
ABCB6	2_220077689	"NA"	-0.9150409956581371	0.1257603274865628	2.4251653007096583	2.9912512153189104
ABCB7	X_74371809	DOWN	-0.10750148622767508	0.5039453389134315	15.682126853972868	0.9886608364700167
ABCB7	X_74371809	DOWN	-0.10750148622767508	0.5039453389134315	15.682126853972868	0.9886608364700167
ABCC9	12_22090571	DOWN	0.48368659337279596	0.6370320476124545	0.452642016842233	0.6505621419213996
ABCD3	1_94876094	"NA"	-0.29901860040653716	0.23106277648907303	15.688781866679772	2.1136432301489543
ABCG2	4_89150699	"NA"	-2.1053608159301023	0.029378545620646707	1.002381470211451	5.089093212458335
ABHD14A	3_52002602	"NA"	0.21837503375754475	0.5374328947374276	4.935759405135743	0.8958434675776449
ABHD14A-ACY1	3_52002602	"NA"	0.1705924185231329	0.6922968299765442	0.5268875632345829	0.5305373528104319
ABHD14B	3_52002602	"NA"	0.37261781268918703	0.08913515901833917	21.03390695526997	3.487861580292475
ABHD16A	6_31661602	"NA"	0.02611812383331147	0.8532148900724404	6.645342394049769	0.22901895147069265
ABHD16A	6_31643317	"NA"	0.02611812383331147	0.8532148900724404	6.645342394049769	0.22901895147069265
ABHD16B	20_62486746	"NA"	-0.14503148154503887	0.19356721228248766	0.052500885897730186	2.369093494978646
ABR	17_1075669	UP	0.8875666679511349	0.034762325943612685	33.36191709447772	4.846331573817735
ABT1	6_26593067	"NA"	-0.07562930813709023	0.5861306270493075	9.65364471588062	0.7707058705217102
ABTB2	11_34376256	"NA"	0.5031389315383321	0.26296943432918385	7.094386121577485	1.9270329740936016
AC002472.13	22_21399681	"NA"	0	1	0	-0
AC003002.4	19_57874301	"NA"	0	1	0	-0
AC003002.6	19_57900763	"NA"	0	1	0	-0
AC003005.2	19_57988589	"NA"	0	1	0	-0
AC003104.1	17_40422306	"NA"	0	1	0	-0
AC003665.1	17_46017787	"NA"	0	1	0	-0
AC003681.1	22_30333134	"NA"	0	1	0	-0
AC003682.16	19_58133460	"NA"	0	1	0	-0
AC003958.2	17_39556895	"NA"	0	1	0	-0
AC004076.7	19_57900763	"NA"	0	1	0	-0
AC004076.9	19_57963294	"NA"	0	1	0	-0
AC004076.9	19_57988589	"NA"	0	1	0	-0
AC004492.1	7_106932849	"NA"	0	1	0	-0
AC004540.4	7_26414940	"NA"	0	1	0	-0
AC005037.1	2_201697328	"NA"	0	1	0	-0
AC005037.2	2_201697328	"NA"	0	1	0	-0
AC005154.6	7_30632312	"NA"	0	1	0	-0
AC005154.6	7_30621402	"NA"	0	1	0	-0
AC005498.3	19_57042433	"NA"	0	1	0	-0
AC005498.4	19_57042433	"NA"	0	1	0	-0
AC005538.5	2_234863824	"NA"	0	1	0	-0
AC005609.1	5_140227249	DOWN	0	1	0	-0
AC005740.5	5_141358041	"NA"	0	1	0	-0
AC005754.7	5_140473932	DOWN	0	1	0	-0
AC005754.7	5_140473932	DOWN	0	1	0	-0
AC005754.7	5_140473932	DOWN	0	1	0	-0
AC005754.7	5_140473932	DOWN	0	1	0	-0
AC006116.1	19_56901262	"NA"	0	1	0	-0
AC006372.1	7_157310478	"NA"	0	1	0	-0
AC006377.1	7_31830858	"NA"	0	1	0	-0
AC006460.2	2_191569644	"NA"	0	1	0	-0
AC006994.2	2_211030130	DOWN	0	1	0	-0
AC006994.3	2_211030130	DOWN	0	1	0	-0
AC007038.7	2_210893932	"NA"	0	1	0	-0
AC007056.1	14_78856357	DOWN	0	1	0	-0
AC007099.2	2_75699717	"NA"	0	1	0	-0
AC007163.6	2_201674570	"NA"	0	1	0	-0
AC007228.11	19_57074833	"NA"	0	1	0	-0
AC007362.3	2_206624678	DOWN	0	1	0	-0
AC007375.1	14_77602082	DOWN	0	1	0	-0
AC007383.3	2_206947984	"NA"	0	1	0	-0
AC007383.4	2_206976307	"NA"	0	1	0	-0
AC007405.8	2_171664227	"NA"	0	1	0	-0
AC007879.5	2_208392966	"NA"	0	1	0	-0
AC008045.1	14_79082516	"NA"	0	1	0	-0
AC008060.5	7_155301716	"NA"	0	1	0	-0
AC008060.8	7_155247684	"NA"	0	1	0	-0
AC008063.2	2_162928826	DOWN	0	1	0	-0
AC008694.3	5_157112085	"NA"	0	1	0	-0
AC008706.1	5_159554921	"NA"	0	1	0	-0
AC008937.2	5_56154298	"NA"	0	1	0	-0
AC008949.1	5_32378290	"NA"	0	1	0	-0
AC008984.5	19_54796810	"NA"	0	1	0	-0
AC008984.7	19_54796810	"NA"	0	1	0	-0
AC009120.4	16_74330045	"NA"	0	1	0	-0
AC009299.2	2_162108416	"NA"	0	1	0	-0
